ISA,Binary,CPU_Type,Sim_Seconds,Sim_Insts,Host_Inst_Rate,IPC,L1D_Miss_Rate,L1D_Avg_Miss_Lat,L2_Miss_Rate,ROB_Reads,ROB_Writes,Branch_Mispred
arm,tc,in-order,0.003922,13069101,1564486,0.739787,0.006285,14689.154607,N/A,N/A,N/A,N/A
riscv,bc,o3,0.002040,11139319,328179,1.212281,0.015832,23614.577191,N/A,31084646,46144363,251806
riscv,bc,in-order,0.004222,11139429,1447065,0.585691,0.007345,17362.193140,N/A,N/A,N/A,N/A
riscv,bfs,o3,0.001883,10458126,332301,1.233277,0.014392,27507.419812,N/A,27718129,40679088,239405
riscv,bfs,in-order,0.004020,10458315,1457014,0.577513,0.006747,19065.020497,N/A,N/A,N/A,N/A
riscv,cc,o3,0.001905,10653807,346021,1.241260,0.013812,27928.924017,N/A,28018160,41118831,240444
riscv,cc,in-order,0.004055,10653890,1495988,0.583342,0.006754,18811.519503,N/A,N/A,N/A,N/A
riscv,cc_sv,o3,0.001892,10828721,325936,1.270609,0.013396,27745.302853,N/A,28670497,42545012,247381
riscv,cc_sv,in-order,0.003720,10828950,1725411,0.646274,0.006344,20187.327400,N/A,N/A,N/A,N/A
riscv,converter,o3,0.001878,10347691,339065,1.222977,0.014418,26583.783994,N/A,27600979,40473501,237509
riscv,converter,in-order,0.003923,10347906,1550111,0.585651,0.006583,20113.277311,N/A,N/A,N/A,N/A
riscv,pr,o3,0.002093,12986604,358055,1.377456,0.011971,24940.863896,N/A,31056176,45560918,253582
riscv,pr,in-order,0.004985,12987673,1530002,0.578432,0.005254,18594.667999,N/A,N/A,N/A,N/A
riscv,pr_spmv,o3,0.002002,12158990,355436,1.348589,0.012828,24891.397407,N/A,31045933,46398456,248721
riscv,pr_spmv,in-order,0.004068,12159415,1764511,0.663570,0.005551,18764.886125,N/A,N/A,N/A,N/A
riscv,sssp,o3,0.002333,12888529,347158,1.226509,0.020931,20031.312473,N/A,31752164,45180856,269035
riscv,sssp,in-order,0.004954,12888741,1651235,0.577519,0.008112,18085.654477,N/A,N/A,N/A,N/A
riscv,tc,o3,0.002553,13710166,321704,1.192326,0.016677,15751.493877,N/A,37294819,54467287,420637
riscv,tc,in-order,0.005090,13711171,1658657,0.597957,0.005841,15405.847496,N/A,N/A,N/A,N/A
